ID,Reason_id,Reason,Text,Age,Gender,Education,Income,Physically_occupation,Political_affiliation,Support
44,4,Family Responsibilities,"The following is a list of some of the more common reasons why older people should retire early. As you can see, many of",2,0,1,1,0,0,0
45,0,Laziness,The answer is that some people don't want to retire at all. They just can't afford to. The average American has about $,1,1,1,2,0,0,0
46,0,Laziness,It is not always easy to determine when to retire. It is also not easy for people to decide if they want to stay or retire,5,1,0,3,0,2,0
47,4,Family Responsibilities,"The following are common reasons why individuals retire early, but not before age 65. The reasons are explained in greater detail below.",2,1,2,3,1,1,1
48,4,Family Responsibilities,The average retirement age for a family of four is 65. The average age at which a retiree is likely to be retired is,3,0,2,3,0,2,1
49,1,Health problems,"The best way to answer that question is to start with the fact that there are many factors that can affect your retirement. For example,",0,1,3,2,0,2,1
50,1,Health problems," How did you get into this profession?JOSHUA RYAN: Well, I've been in the business for about 20 years",3,1,1,5,1,2,1
51,0,Laziness,"When it comes to retiring early, I think the least common cause is people who don't have a job. If you're on a",1,0,1,7,1,2,1
52,4,Family Responsibilities,One of the biggest reasons for retiring early is because you don't have the financial resources to meet your family responsibilities. As a result,7,0,3,3,1,1,0
53,1,Health problems,The first reason is that older people tend to have more health problems because they don't have the time to spend with their family and friends,4,0,2,4,1,2,0
54,0,Laziness,"Laziness is a big problem for many Americans. If you are not working, you will lose your job. But if you have",6,0,2,2,1,1,1
55,2,Financial concerns,A: The reason that people can't afford to retire is because they're too old to make a living. People who retire early are,0,0,1,4,0,2,1
56,0,Laziness,"I think it's a combination of all the things that you mentioned, and you don't want to get into that too much. I",6,0,2,3,1,2,0
57,2,Financial concerns,"There are a lot of factors that go into retirement, but one of the biggest ones is retirement planning. You have to make sure you",0,0,1,2,1,0,1
58,3,Job Dissatisfaction,The average American retiree in 2013 was 47 years old. That's a lot of years of work. The average age for,3,0,3,7,0,0,1
59,3,Job Dissatisfaction,"""I don't think it's the one or the other. I think there are some people who want to retire early,",1,1,0,5,0,2,0
60,3,Job Dissatisfaction,"If you were to ask a question about retirement, you'd probably say that it's very important for you to have a job",1,0,1,4,1,2,0
61,0,Laziness,"It's hard to find a good reason for that, but I do think it's one of those things. It's something that happens",3,0,3,2,1,2,0
62,3,Job Dissatisfaction,"I've always been a good listener, and I'm a little bit of a jerk. I've been around for a long",6,0,0,4,1,0,1
63,1,Health problems, I don't know.I think it's a combination of all of these things. One of the things that's going on is that,2,1,3,1,0,1,0
64,0,Laziness,"I'm sure you've heard that many times, but you're probably not the only one. There are many reasons why you retire early",3,1,2,3,0,2,0
65,1,Health problems,"People who retire early are more likely to have a number of health problems, including heart disease, stroke, diabetes, cancer, and diabetes",2,1,2,1,1,1,1
66,3,Job Dissatisfaction,"It's not uncommon to hear people say, ""I want to be in the workforce for 25 years, but I can't",0,1,3,4,1,0,0
67,3,Job Dissatisfaction,I'm not sure. I think a lot of people who are retiring early are going to have a harder time getting a job,0,1,3,2,1,1,1
68,1,Health problems,I think the biggest reason is that people are taking care of themselves. That's why I think it's important to get a health plan,4,0,2,1,1,0,1
69,3,Job Dissatisfaction,"If you're looking for an easy way to keep up with your family and your finances, the answer is no. If you",4,0,3,0,1,0,1
70,3,Job Dissatisfaction,I think it's because they don't have the time or resources to do the job. They have to live with their parents,6,1,3,2,1,2,0
71,4,Family Responsibilities,"The key here is that you have to be able to handle your retirement responsibilities. If you are retired early, your family is going",2,0,1,1,0,0,0
72,4,Family Responsibilities,"1. Family responsibilities are the main motivator for retirement. If we want to work hard, we need to be able to do",0,0,1,3,1,0,0
73,2,Financial concerns,"If you're looking for a retirement plan for your family, you should look at the Retirement Savings Plan (RSSP) and the 401",1,1,2,2,0,1,0
74,3,Job Dissatisfaction,"I don't think it's a big deal. I think that's the main reason. In other words, it is not",5,0,1,4,0,2,0
75,2,Financial concerns,I think there's a lot of different reasons for retirement. There are some people who are retiring because they don't have the financial resources,2,1,2,4,1,2,1
76,0,Laziness,Laziness is a very common problem in the U.S. and many countries where people are born and raised. It is not,2,1,1,2,1,2,1
77,2,Financial concerns,There are a number of reasons for retirement. One is that you're not sure if you'll be able to get by. Another is,5,1,1,1,0,0,0
78,1,Health problems,"When you look at the number of people who retire at age 65, it's pretty clear that a lot of that is related to the",5,0,1,3,1,2,0
79,1,Health problems,"1. People who are retiring early in their lives are more likely to have chronic health problems, such as heart disease or diabetes, and",0,1,2,1,1,0,1
80,0,Laziness,"Laziness is a major factor in retirement planning, especially if you're an early retiree. There's a lot of work to",1,1,1,3,1,0,1
81,1,Health problems, It's a big part of the reason that some people go on to live longer.A lot of people don't realize that the average,3,1,1,3,1,2,0
82,1,Health problems,This is a question that has been raised in the past. I think the answer is that health problems are the main cause of retirement.,0,1,3,2,0,2,1
83,1,Health problems,"I'm sure there are many reasons, but I'm not sure which one is more common. I think it's a combination of a",3,1,0,2,0,2,0
84,1,Health problems," Or something else.""I don't know, I just think it's one of those things where you have to figure it out and",4,0,2,3,1,2,1
85,3,Job Dissatisfaction,Here are some of the reasons for people retiring before 65:,0,0,1,6,0,1,1
86,4,Family Responsibilities,"I've done a bit of research on retirement, and here are some things that I think are most important to consider. If you",5,0,2,7,0,2,1
87,3,Job Dissatisfaction,Here are some common reasons for people retiring before 65. The following are not necessarily the reasons that people do not retire:,0,0,3,4,0,0,1
88,4,Family Responsibilities,The following are some of the common reasons why retirees retire early:,2,0,1,1,0,1,0
89,2,Financial concerns,"In the U.S., people who retire early are less likely to have health problems, such as heart disease or diabetes, according to",0,1,1,5,0,2,1
90,1,Health problems," It's not a big deal, because it's just a matter of time.What is your opinion of the fact that people who retire",0,0,2,3,1,2,1
91,3,Job Dissatisfaction,"1. How many people do they retire with? The average age for retirement is 65, so that means the average number of",0,0,3,3,1,2,1
92,3,Job Dissatisfaction,"This question was asked by the National Employment Law Project, a coalition of labor unions and advocacy groups. The NELP asked",2,1,3,6,0,1,1
93,1,Health problems,"I don't think it's that simple. I think a lot of people who retire after 65 have health problems, but they're not",6,1,3,4,0,0,0
94,1,Health problems,"The answer is a combination of many factors, including a lack of income, a spouse or children living at home, or an inability to",3,0,3,2,0,2,1
95,2,Financial concerns,"I think we're in a very good place right now. We have a lot of new, young people who are going to be very",4,0,3,0,0,1,1
96,1,Health problems,"The answer is that most people are getting older, and that's a problem that needs to be addressed. If you're 65 and you",2,1,3,0,1,2,0
97,1,Health problems,"People who retire early are more likely to have serious health problems, such as heart disease, diabetes, high blood pressure, and high cholesterol",0,1,3,4,0,1,0
98,0,Laziness,Laziness is a common problem in the U.S. and it's a problem that's going to get worse as people age,2,0,1,0,1,0,0
99,3,Job Dissatisfaction,1. You're a single parent. How did you get married? What's your favorite thing about being single? How do,2,0,2,1,0,2,1
100,3,Job Dissatisfaction,"I'm sure you've heard about this before, but I don't think it's so common. It's not something that",0,1,3,1,1,2,1
101,4,Family Responsibilities,"If you're older than 65, you'll be responsible for family responsibilities such as raising children, managing your finances, and paying your",3,0,3,3,1,1,0
102,4,Family Responsibilities,What are your family responsibilities? What is your job role? Do you have a family member who is responsible for managing your finances?,0,1,1,4,0,1,1
103,4,Family Responsibilities,"There are many factors that contribute to the retirement of a family member, including:",7,1,3,3,0,2,0
104,3,Job Dissatisfaction,"There are a lot of reasons why you retire, but most of the time you just retire with a good job and a nice",6,0,3,1,1,0,0
105,0,Laziness,This is a big question. It's hard to say. But it's worth asking. Why do so many people want to retire early,5,1,2,1,0,0,1
106,2,Financial concerns,"A lot of people think retirement is a good thing, but it's not the best way to live your life. If you want to",4,1,0,6,1,0,1
107,0,Laziness,"I don't know. I think that's one of the things that drives people to retire early. It's like, ""I'm",1,1,2,2,0,1,0
108,2,Financial concerns,"It's not hard to see why retirement can be a problem for people who have a lot of financial needs, especially if they're not",0,0,3,2,1,1,0
109,2,Financial concerns,"I don't know. I'm not sure. But I think that's a good thing. You know, I know there are a",1,1,2,0,0,1,1
110,4,Family Responsibilities,There are two types of family responsibilities. One is to care for your children. The other type is for you to take care of,6,1,3,3,1,1,1
111,4,Family Responsibilities,"The main reason for retirement is to have a family. If you are going to retire, you need to be able to provide for",5,0,3,2,0,1,0
112,1,Health problems,"There are many reasons. Some of them are health issues like diabetes, heart disease, diabetes mellitus, obesity, and obesity-related",3,1,3,5,0,1,1
113,0,Laziness,"Laziness is one of the biggest reasons people leave before they are 65, according to the Pew Research Center. The Pew study found",0,1,0,3,0,1,0
114,0,Laziness,"You know, it's hard to get a job when you're 65. I mean, I'm still living paycheck to paycheck, but",1,0,1,6,0,0,1
115,4,Family Responsibilities,"In the United States, the retirement age is 35 years old. The average age at which a person can expect to retire is 65",6,0,3,3,1,2,1
116,2,Financial concerns,"The most commonly asked question is, ""Why do I retire at age 65?"" And the answer is simple: It's because of health",5,1,0,3,0,1,1
117,1,Health problems,I'm sure that many of you are wondering what's the best way to retire early. I don't think it's hard to find,1,0,1,5,1,2,1
118,2,Financial concerns,"In addition, the aging of the population has been linked to a higher risk of hypertension, heart disease, diabetes, high blood pressure,",4,0,1,4,1,2,1
119,2,Financial concerns,I think the biggest reason is that retirement is a time when you have to work. You don't have time to think about what you,6,0,3,5,1,0,1
120,1,Health problems,I think that's a very interesting question. I think it's important for people to think about what's going on in their lives.,3,0,3,5,1,0,0
121,1,Health problems,How do people get back to work?..,0,1,2,1,0,2,1
122,1,Health problems,"I'm not sure, but I think it's probably a combination of both. I mean, I've done research that has shown that",3,1,3,0,1,2,1
123,4,Family Responsibilities,"Family responsibilities are a great way to start your life. It's important to have a plan in place before you retire, and you",0,0,3,1,0,1,1
124,2,Financial concerns,"The answer to that question is not a simple one. The answer is that the average retiree's retirement income is about $25,",6,0,1,6,1,0,1
125,0,Laziness, Why do we retire at such a young age?Laziness is something that happens when you have a lot of money to spend on,6,0,3,3,0,1,1
126,4,Family Responsibilities," If you're a retiree and you have a family member you want to work with, you can apply for a job with the government.",3,1,1,1,1,0,0
127,3,Job Dissatisfaction,"I've been working in the tech industry for 20 years, and I've never seen a single case where I felt like I",0,0,0,1,0,1,1
128,2,Financial concerns,"The answer is, ""I don't think so."" We've known for a long time that retirement is a bad thing. It's",6,0,2,2,1,0,0
129,2,Financial concerns,"There are a lot of reasons why the retirement age is too young. You may not be able to get a job at that age,",3,1,0,5,1,2,1
130,1,Health problems,1. People who have health problems are more likely to retire than those who don't have them. This is because people who do have,3,1,3,3,1,2,0
131,2,Financial concerns,There are two reasons why retirees should retire early. One is to save money for retirement and the other is that you have a better idea,1,0,1,0,0,1,0
132,1,Health problems,It's not the same as having children or having a job. It's a different issue. I think it's more of a problem,2,1,0,1,0,0,0
133,1,Health problems,"It's not a great answer. I've had a lot of health problems in my life. There's a reason for that, but",3,1,1,3,1,2,0
134,0,Laziness,Laziness is something that's been associated with retirement. It's a condition that affects a lot of people. People don't get,3,0,3,3,0,0,1
135,0,Laziness,"The answer is simple: It's not so easy to retire at 65. There are many factors that go into retirement, including how much",4,1,2,4,0,1,0
136,4,Family Responsibilities,One of the best ways to make sure that your retirement plan is financially sound is to take care of your family members. If you,3,0,2,4,1,2,0
137,3,Job Dissatisfaction,"The answer is: it depends on what kind of job you're looking for. For example, if you want to be a",0,1,1,1,1,1,1
138,4,Family Responsibilities,"In the U.S., retirement is defined as ""the period of at least one year in which a person is able to live",0,1,3,2,1,0,0
139,3,Job Dissatisfaction,"Source: National Bureau of Economic Research, The Retirement Age: A National Survey",0,1,3,3,1,2,1
140,4,Family Responsibilities,"If you want to know more about how to retire at age 65, you can read this article by Mark Twain.",5,0,0,0,0,2,0
141,0,Laziness,"The number of people who retire at age 65 is on the rise, but it's far from the norm. The average person's retirement",3,0,2,2,1,0,1
142,4,Family Responsibilities,"I'm sure you've heard that there are two main reasons why you retire early. One is because your spouse is sick, and",3,1,1,2,1,2,1
143,0,Laziness,"There are a lot of reasons why we retire early. Some of them are related to the stress of retirement, some of which are due",6,0,0,1,0,2,1
144,1,Health problems,"This is a question that has been asked many times in the past, and it has become one of the main topics of discussion among the",2,1,0,5,0,2,0
145,3,Job Dissatisfaction,"The following are the main reasons why you may be retiring before your 65th birthday, according to the U.S. Census",5,1,3,0,0,2,1
146,4,Family Responsibilities,"The average retiree in our country has a total of over 1,000 hours of work. This includes all the hours that are",0,1,3,0,1,2,1
147,0,Laziness,"Laziness is one of the main reasons that people are retiring before their 65th birthday. In fact, there are many reasons why",3,0,3,2,1,0,1
148,3,Job Dissatisfaction,This question was asked by a group of students at the University of Chicago. They were asked to rate their satisfaction with their job,2,0,3,2,1,0,0
149,1,Health problems,"It's a good question, but I think it's probably one of the biggest reasons people don't retire. It's hard to say",0,1,1,1,0,2,0
150,3,Job Dissatisfaction,"I don't know, but I think it's probably because we're so busy with our jobs. And I don' think",5,1,1,2,1,0,1
151,0,Laziness,"Laziness is when you're too lazy to work. You're lazy, you don't get paid, and you get sick.",4,0,1,1,1,1,1
152,3,Job Dissatisfaction,1. People who have had a job for a long time have a higher level of satisfaction than those who haven't. For,7,1,2,2,0,2,0
153,0,Laziness,"Well, you know, I mean, it's a lot of fun, but I think you're probably going to have to put a",7,0,0,4,1,2,1
154,3,Job Dissatisfaction,"It's the same thing with retirement. If you're in the middle of your career and you've got a job, you",0,1,2,1,0,2,1
155,3,Job Dissatisfaction,"In our survey, respondents were asked about their current job satisfaction and their personal satisfaction with the job. The results revealed that the",3,1,3,4,1,1,1
156,4,Family Responsibilities,"When it comes to retirement, there are a lot of different factors that go into retirement. One of the biggest factors is family responsibilities",3,0,3,1,0,2,0
157,4,Family Responsibilities,It's important to note that this is a question of whether or not you're going to retire at 65 years old. If you,3,0,1,0,1,0,0
158,0,Laziness,"AdvertisementI don't know. Maybe it's a combination of laziness, a lack of education, and a reluctance to be",4,0,3,0,1,1,1
159,3,Job Dissatisfaction,"It's hard to tell, but it's a common thing to see in the U.S. workforce. In 2014,",2,1,1,5,0,0,1
160,3,Job Dissatisfaction,"""I've never been happier than I am now,"" he said. ""I'm working harder, I'm better at my",0,1,1,5,1,2,1
161,4,Family Responsibilities,"The answer is pretty simple. It depends on the person's situation. Some people, for example, may be in a position where",3,0,1,5,1,0,1
162,3,Job Dissatisfaction,"Do you agree with the following statement? If so, what is your opinion?: The average person who retired before age",0,0,2,2,1,1,0
163,1,Health problems,"I don't know. I think it's because they're not getting enough exercise, and that's the main reason. It's also",3,1,3,1,1,0,0
164,2,Financial concerns,The following chart shows the percentage of people who have retired before age 65. The number of retired persons is based on the median age at,0,1,3,1,1,1,0
165,0,Laziness,"Laziness is a big deal. It's a fact of life. We don't want to go to college, we want a",0,1,0,1,0,1,1
166,4,Family Responsibilities,"The average American is likely to have at least one job that is highly important to them. For example, the average retirement age for",0,1,2,2,0,1,1
167,2,Financial concerns,It's not that you don't want to be an employer. It's that it's a very difficult time for people to find work,1,0,1,2,0,2,0
168,3,Job Dissatisfaction,"The most likely reason is that they are retiring early because they don't want to work as hard as they could, and so",4,1,1,1,0,0,1
169,4,Family Responsibilities,A great example of a retirement plan that is designed to help you achieve your goals can be found in the following chart: A Retirement,1,0,2,1,1,2,1
170,3,Job Dissatisfaction,"The main reason is that people have to work longer hours to get by, which means they're less likely to take on more",5,1,1,1,1,1,0
171,0,Laziness,"1. You don't have to work hard to be successful. If you have a good job, you'll always be able to do",5,1,3,1,1,2,0
172,3,Job Dissatisfaction,,2,0,1,2,0,2,1
173,4,Family Responsibilities,"In the United States, a family retirement is a time when your spouse or common-law partner is retiring as a result of a",2,1,3,1,0,1,0
174,1,Health problems,You don't want to retire until you have a bad case of Alzheimer's disease. It's also important to remember that you're not,5,1,3,2,0,0,0
175,0,Laziness, People who have been in a job for a long time are less likely to retire early. They are more likely than others to be in the same,2,0,3,3,0,2,0
176,3,Job Dissatisfaction,"1. ""I'm not sure I've ever seen anything like this before."" - Jim Mearls, ""The Great",0,0,3,5,1,2,1
177,0,Laziness,"If you look at the retirement data, you'll see that the number of people who are retiring at age 65 has almost doubled over the",6,1,2,1,1,0,1
178,2,Financial concerns,I think you're going to see a lot of people retiring early because of financial issues. I think that's probably one of the reasons,6,1,2,4,1,2,1
179,2,Financial concerns,"A: Well, I think that a lot of people are looking at retirement as a means to an end, and that's something that",6,0,0,0,1,1,0
180,4,Family Responsibilities,I would like to hear your thoughts on the question of how to maximize your retirement savings. Please share your own thoughts in the comments,0,0,2,1,1,0,0
181,1,Health problems,"You know, I'm not going to say that it's the only reason. But I can say this: I think that's a",3,0,0,5,0,2,1
182,1,Health problems," How do we know that?The answer is simple. We don't know. It's a mystery. In fact, I think the",2,0,1,2,1,0,1
183,0,Laziness,"Laziness is a mental illness that affects millions of Americans. According to the Centers for Disease Control and Prevention (CDC), about half",0,0,1,4,0,1,0
184,0,Laziness,"Let's look at some of the reasons why. First, you might think it's because you've lost a lot of weight, or",1,0,3,5,1,1,0
185,3,Job Dissatisfaction,A. A lot of people who are retiring early are looking for work that is better than what they are doing now. They,6,0,1,2,1,1,1
186,1,Health problems,People who are 65 or older may be more likely to die prematurely at a younger age than at any other time in their lives. If,2,1,3,4,0,1,0
187,0,Laziness,"""People who have a lot of money and are retiring early are going to have more problems with their retirement, and they will have less",2,1,3,1,0,2,0
188,3,Job Dissatisfaction,"In the United States, people who are retiring before age 65 are more likely to be unemployed than those who retire after age 70",5,0,1,0,0,2,1
189,2,Financial concerns,I think there are a lot of factors that go into retirement. One of the things that I think people who retire early are those who,3,1,1,3,1,2,0
190,0,Laziness,Laziness is a sign of a lack of self-confidence. You don't know what you're going to do when you retire,0,1,3,1,1,1,0
191,1,Health problems,What are some of the reasons that people don't retire early? How many years are they expected to live? What are the causes of,4,0,3,4,1,0,0
192,0,Laziness,"You know, there's a lot of people out there who want to get out of college and start their own business, but it's",2,1,0,2,1,1,1
193,2,Financial concerns,"This is a difficult question to answer, but it is important to note that many retirees do not have the financial resources to retire at age",3,0,3,3,0,0,0
194,3,Job Dissatisfaction,Why do people who retire early tend to be more productive than those who do not? The answer is because they are less likely,5,0,2,2,1,2,1
195,3,Job Dissatisfaction,A: It's a good question. It depends on what you're talking about. You could say that it's because you,3,0,2,5,0,1,1
196,4,Family Responsibilities,The following are the top 10 reasons why you should retire after 65: Family responsibilities. These are those things that you do on a,4,0,3,1,1,2,1
197,0,Laziness,Laziness is one of the reasons why the average American lives about five years longer than their parents. It is also the reason that,3,0,1,3,0,0,1
198,3,Job Dissatisfaction,The question is: How many times have you seen a person retire at a young age? If you want to know how many,0,1,0,4,1,1,1
199,1,Health problems,"The best way to know if you are retiring before 65 is to look at your medical history, your health insurance coverage, and the type",2,1,3,3,1,0,1
200,2,Financial concerns,"No, I don't think so. I think it's because of the aging process. It's not just the retirement process, it",0,0,3,0,1,2,1
201,1,Health problems,It's not just the aging population that's at risk. It's also people who don't get a lot of health care or who,0,1,2,4,1,2,1
202,4,Family Responsibilities,What are your family responsibilities right now? What are the things you want to do in your life that you're going to need to,4,1,2,1,1,2,1
203,3,Job Dissatisfaction,"It's not easy to find a job that's worth your time, money, and effort. The list of job reasons is",0,1,2,1,1,1,0
204,1,Health problems,"""I don't think that's the only reason,"" he said. ""It's not just about health. It's about life.",2,0,3,1,1,1,1
205,0,Laziness,"It's not just about money. It's also about what you want to do with your life. When you retire, you will have",2,0,2,2,0,2,0
206,0,Laziness,Laziness is one of those things that happens when you can't afford to retire at a young age. If you're not a,0,1,3,1,0,2,0
207,1,Health problems,"It's all about your health, not about how much money you have left. If you're going to retire at 65, you need",3,0,3,0,1,0,1
208,0,Laziness,Laziness is a common problem in retirement. People who are lazy tend to get out of work and move into the job market.,1,0,0,4,1,2,1
209,2,Financial concerns,"People who have retired before retirement are more likely to have a financial problem. When they retire, they are less likely than those who are",3,0,1,3,0,2,0
210,0,Laziness,Laziness is a major cause of death for many middle-aged people. It's also a reason that some people don't have,2,1,3,3,1,0,0
211,0,Laziness,"I don't know. I think it's a combination of a lack of money, a sense of futility, and a desire to",3,0,0,5,1,1,0
212,3,Job Dissatisfaction,"I think it's probably because of the fact that, in my experience, people who retire early are more likely to have a",2,0,3,0,0,0,0
213,2,Financial concerns,"Well, you know, I think it's a big problem. I mean, there are a lot of people that have been in the",0,0,1,1,1,0,1
214,4,Family Responsibilities,"A: The most important thing for retirees is to have a family-friendly retirement plan. If you are a single parent, you",3,1,2,3,1,2,1
215,0,Laziness,"Laziness is something that happens to people who are older than 65, but it's also something you should be aware of. It",0,1,0,2,0,2,1
216,2,Financial concerns,I know that some people are worried about their retirement because they are concerned about the financial stability of their children. I have been very clear,5,0,3,2,1,0,0
217,2,Financial concerns,The key question is: what is it about retirement that is causing people to retire sooner than others? The answer is that it's the,6,0,1,3,0,1,1
218,2,Financial concerns,I think that retirement is a very important part of how we live our lives. We have to be aware of what we are going through,1,0,3,3,1,0,0
219,4,Family Responsibilities,"The following are some of the things that people do when they retire early: work, play, and do other activities that they enjoy",4,1,2,2,0,2,1
220,2,Financial concerns,"I don't know. I think it's just a matter of time before people are retiring, but I also think they're probably having",4,0,3,2,1,1,0
221,2,Financial concerns,"""I think it's a combination of all of these things. There are a lot of things going on with retirement. I mean,",1,0,2,3,0,2,1
222,4,Family Responsibilities,"The most commonly cited reason for retirement is to have kids, and that's a good thing. But many people want to take care",5,0,1,0,1,0,1
223,3,Job Dissatisfaction,Source: National Bureau of Economic Research.,2,1,1,5,0,2,0
224,4,Family Responsibilities,"A few years ago, I was working on a project for a company that was building a computer network. The company's CEO was",0,0,2,7,0,0,0
225,0,Laziness,1. Lack of money. There are more people who retire early than there are who are not. It's more likely that they are,4,0,1,3,0,0,0
226,0,Laziness,"I'm not sure, but I think it's probably because of the fact that people don't have the time to go to college.",3,0,1,2,1,1,1
227,4,Family Responsibilities,"If you are retiring at age 65, you should consider some family responsibilities. First of all, if you have children, they should",2,1,0,4,1,1,0
228,2,Financial concerns,"The answer is a simple one: There are many factors that go into retirement, and many of them affect how much money you have left",6,0,2,1,1,2,0
229,0,Laziness,Laziness is a big problem for many people. Here are a few reasons why:1. It's hard to get,3,0,3,2,1,2,0
230,4,Family Responsibilities,Family responsibilities are a key part of a healthy retirement plan. They help to ensure that you have the financial resources you need to keep,4,1,3,4,0,2,0
231,3,Job Dissatisfaction,I think that the biggest reason is that you're not going to get that many jobs. You'll have to work for a,5,0,3,5,1,2,0
232,1,Health problems,"If you are a retiree and you want to know why you need to retire, we have a list of answers. Here are some",1,0,3,0,1,2,0
233,3,Job Dissatisfaction,"It's a good question. There are a few reasons for this. People tend to retire early, which means that they're",4,0,2,4,1,1,0
